Date : 2024-02-07 19:41:55
Directory : c:\RV32\CH32V203\LearnADC
Total : 164 files,  20508 codes, 10743 comments, 4953 blanks, all 36204 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\RV32\CH32V203\LearnADC\.eide\debug.files.options.yml              | YAML               |          3 |         24 |          5 |         32 |
| c:\RV32\CH32V203\LearnADC\.eide\debug.riscv.gcc.options.json         | JSON               |         38 |          0 |          0 |         38 |
| c:\RV32\CH32V203\LearnADC\.eide\eide.json                            | JSON               |        109 |          0 |          0 |        109 |
| c:\RV32\CH32V203\LearnADC\.eide\env.ini                              | Ini                |         14 |          0 |          5 |         19 |
| c:\RV32\CH32V203\LearnADC\LearnADC.code-workspace                    | JSON with Comments |        125 |          0 |          0 |        125 |
| c:\RV32\CH32V203\LearnADC\download.cmd                               | Batch              |          3 |          0 |          4 |          7 |
| c:\RV32\CH32V203\LearnADC\dsp\controller\PID.cpp                     | C++                |         16 |          0 |          6 |         22 |
| c:\RV32\CH32V203\LearnADC\dsp\controller\PID.hpp                     | C++                |         32 |          0 |         12 |         44 |
| c:\RV32\CH32V203\LearnADC\dsp\filter\KalmanFilter.cpp                | C++                |         23 |          0 |          2 |         25 |
| c:\RV32\CH32V203\LearnADC\dsp\filter\KalmanFilter.hpp                | C++                |         22 |          0 |         12 |         34 |
| c:\RV32\CH32V203\LearnADC\dsp\floatlib\fastsqrt.h                    | C                  |         58 |          0 |         13 |         71 |
| c:\RV32\CH32V203\LearnADC\dsp\floatlib\floatlib.h                    | C                  |          4 |          0 |          3 |          7 |
| c:\RV32\CH32V203\LearnADC\sdk\Core\core_riscv.c                      | C                  |        125 |        167 |         42 |        334 |
| c:\RV32\CH32V203\LearnADC\sdk\Core\core_riscv.h                      | C                  |        185 |        145 |         48 |        378 |
| c:\RV32\CH32V203\LearnADC\sdk\Ld\Link.ld                             | LinkerScript       |        128 |         30 |         30 |        188 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x.h              | C                  |      3,799 |        401 |        618 |      4,818 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_adc.h          | C                  |        152 |         36 |         31 |        219 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_bkp.h          | C                  |         70 |         13 |          9 |         92 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_can.h          | C                  |        194 |         99 |         66 |        359 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_crc.h          | C                  |         16 |         10 |          6 |         32 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_dbgmcu.h       | C                  |         34 |         10 |          7 |         51 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_dma.h          | C                  |        122 |         33 |         28 |        183 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_exti.h         | C                  |         60 |         19 |         15 |         94 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_flash.h        | C                  |        105 |         20 |         18 |        143 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_gpio.h         | C                  |        146 |         26 |         18 |        190 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_i2c.h          | C                  |        133 |         35 |         32 |        200 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_iwdg.h         | C                  |         27 |         13 |          9 |         49 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_misc.h         | C                  |         24 |         12 |          8 |         44 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_opa.h          | C                  |         46 |         15 |         12 |         73 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_pwr.h          | C                  |         39 |         14 |         10 |         63 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_rcc.h          | C                  |        195 |         29 |         32 |        256 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_rtc.h          | C                  |         65 |         12 |         20 |         97 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_spi.h          | C                  |        128 |         50 |         41 |        219 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_tim.h          | C                  |        335 |         98 |         74 |        507 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_usart.h        | C                  |        109 |         45 |         32 |        186 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_wwdg.h         | C                  |         22 |         11 |          7 |         40 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_adc.c          | C                  |        531 |        564 |        114 |      1,209 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_bkp.c          | C                  |        102 |        121 |         20 |        243 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_can.c          | C                  |        712 |        368 |        149 |      1,229 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_crc.c          | C                  |         30 |         58 |         10 |         98 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_dbgmcu.c       | C                  |         34 |         54 |         11 |         99 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_dma.c          | C                  |        148 |        261 |         22 |        431 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_exti.c         | C                  |         87 |         82 |         12 |        181 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_flash.c        | C                  |        519 |        340 |        107 |        966 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_gpio.c         | C                  |        356 |        247 |         69 |        672 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_i2c.c          | C                  |        430 |        458 |         85 |        973 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_iwdg.c         | C                  |         36 |         75 |         10 |        121 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_misc.c         | C                  |         63 |         39 |          6 |        108 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_opa.c          | C                  |         33 |         46 |          6 |         85 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_pwr.c          | C                  |        181 |        168 |         52 |        401 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_rcc.c          | C                  |        435 |        493 |         91 |      1,019 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_rtc.c          | C                  |        193 |        159 |         22 |        374 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_spi.c          | C                  |        289 |        297 |         53 |        639 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_tim.c          | C                  |        945 |      1,238 |        169 |      2,352 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_usart.c        | C                  |        385 |        354 |         68 |        807 |
| c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_wwdg.c         | C                  |         45 |         81 |         14 |        140 |
| c:\RV32\CH32V203\LearnADC\sdk\Startup\startup_ch32v20x_D6.S          | ARM                |        240 |         14 |         12 |        266 |
| c:\RV32\CH32V203\LearnADC\sdk\Startup\startup_ch32v20x_D8.S          | ARM                |        256 |         14 |         10 |        280 |
| c:\RV32\CH32V203\LearnADC\sdk\Startup\startup_ch32v20x_D8W.S         | ARM                |        260 |         14 |         12 |        286 |
| c:\RV32\CH32V203\LearnADC\src\AS5600\as5600.hpp                      | C++                |        223 |          0 |         55 |        278 |
| c:\RV32\CH32V203\LearnADC\src\HX711\HX711.c                          | C                  |         73 |          3 |         16 |         92 |
| c:\RV32\CH32V203\LearnADC\src\HX711\HX711.h                          | C                  |         28 |          0 |         10 |         38 |
| c:\RV32\CH32V203\LearnADC\src\MA730\ma730.hpp                        | C++                |         10 |          0 |          6 |         16 |
| c:\RV32\CH32V203\LearnADC\src\MLX90640\I2C_Driver.c                  | C                  |        128 |         22 |         31 |        181 |
| c:\RV32\CH32V203\LearnADC\src\MLX90640\I2C_Driver.h                  | C                  |         17 |          0 |          7 |         24 |
| c:\RV32\CH32V203\LearnADC\src\MLX90640\ML90640_I2C_Driver.c          | C                  |         42 |          0 |         20 |         62 |
| c:\RV32\CH32V203\LearnADC\src\MLX90640\MLX90640_API.cpp              | C++                |          0 |      1,192 |        264 |      1,456 |
| c:\RV32\CH32V203\LearnADC\src\MLX90640\MLX90640_API.h                | C                  |        111 |         16 |         15 |        142 |
| c:\RV32\CH32V203\LearnADC\src\MLX90640\MLX90640_I2C_Driver.h         | C                  |         15 |         16 |          6 |         37 |
| c:\RV32\CH32V203\LearnADC\src\MPU6050\mpu6050.cpp                    | C++                |         20 |          8 |          7 |         35 |
| c:\RV32\CH32V203\LearnADC\src\MPU6050\mpu6050.hpp                    | C++                |         42 |          1 |         12 |         55 |
| c:\RV32\CH32V203\LearnADC\src\OV7670\SCCB_Driver.c                   | C                  |          0 |        131 |          7 |        138 |
| c:\RV32\CH32V203\LearnADC\src\OV7670\SCCB_Driver.h                   | C                  |          0 |         39 |         18 |         57 |
| c:\RV32\CH32V203\LearnADC\src\PCF8574\pcf8574.hpp                    | C++                |         28 |          0 |          8 |         36 |
| c:\RV32\CH32V203\LearnADC\src\SDcard\SPI2_Driver.c                   | C                  |         32 |          4 |         10 |         46 |
| c:\RV32\CH32V203\LearnADC\src\SDcard\SPI2_Driver.h                   | C                  |         14 |          0 |          6 |         20 |
| c:\RV32\CH32V203\LearnADC\src\SGM58031\sgm58031.hpp                  | C++                |        188 |          1 |         37 |        226 |
| c:\RV32\CH32V203\LearnADC\src\SSD1306\ssd1306.cpp                    | C++                |         18 |          0 |          7 |         25 |
| c:\RV32\CH32V203\LearnADC\src\SSD1306\ssd1306.hpp                    | C++                |         92 |          0 |         15 |        107 |
| c:\RV32\CH32V203\LearnADC\src\ST7789V2\st7789.cpp                    | C++                |         36 |          3 |          9 |         48 |
| c:\RV32\CH32V203\LearnADC\src\ST7789V2\st7789.hpp                    | C++                |         66 |          0 |         19 |         85 |
| c:\RV32\CH32V203\LearnADC\src\ST7789\SPI1_Driver.c                   | C                  |        127 |          4 |         40 |        171 |
| c:\RV32\CH32V203\LearnADC\src\ST7789\SPI1_Driver.h                   | C                  |         25 |          0 |         10 |         35 |
| c:\RV32\CH32V203\LearnADC\src\ST7789\font.h                          | C                  |         98 |          1 |          7 |        106 |
| c:\RV32\CH32V203\LearnADC\src\ST7789\st7789.c                        | C                  |        419 |          7 |        104 |        530 |
| c:\RV32\CH32V203\LearnADC\src\ST7789\st7789.h                        | C                  |         54 |          0 |         21 |         75 |
| c:\RV32\CH32V203\LearnADC\src\TCS34725\tcs34725.hpp                  | C++                |        239 |          1 |         54 |        294 |
| c:\RV32\CH32V203\LearnADC\src\TM8211\tm8211.hpp                      | C++                |         56 |          2 |         15 |         73 |
| c:\RV32\CH32V203\LearnADC\src\TTP229\TTP229.c                        | C                  |         44 |          2 |         12 |         58 |
| c:\RV32\CH32V203\LearnADC\src\TTP229\TTP229.h                        | C                  |         24 |          0 |          8 |         32 |
| c:\RV32\CH32V203\LearnADC\src\VL53L0X\vl53l0x.cpp                    | C++                |         89 |          0 |         16 |        105 |
| c:\RV32\CH32V203\LearnADC\src\VL53L0X\vl53l0x.hpp                    | C++                |         44 |          0 |         15 |         59 |
| c:\RV32\CH32V203\LearnADC\src\bus\bus.hpp                            | C++                |         38 |          0 |         12 |         50 |
| c:\RV32\CH32V203\LearnADC\src\bus\bus_inc.h                          | C                  |         11 |          0 |          3 |         14 |
| c:\RV32\CH32V203\LearnADC\src\bus\busdrv.hpp                         | C++                |         94 |          0 |         17 |        111 |
| c:\RV32\CH32V203\LearnADC\src\bus\i2c\i2c.hpp                        | C++                |          8 |          0 |          5 |         13 |
| c:\RV32\CH32V203\LearnADC\src\bus\i2c\i2cSw.hpp                      | C++                |        165 |         12 |         28 |        205 |
| c:\RV32\CH32V203\LearnADC\src\bus\i2c\i2cdrv.hpp                     | C++                |         97 |          1 |         15 |        113 |
| c:\RV32\CH32V203\LearnADC\src\bus\i2s\i2s.hpp                        | C++                |          8 |          0 |          5 |         13 |
| c:\RV32\CH32V203\LearnADC\src\bus\i2s\i2sSw.hpp                      | C++                |         72 |          8 |         26 |        106 |
| c:\RV32\CH32V203\LearnADC\src\bus\i2s\i2sdrv.hpp                     | C++                |         14 |          0 |          5 |         19 |
| c:\RV32\CH32V203\LearnADC\src\bus\printer.cpp                        | C++                |         65 |          2 |          8 |         75 |
| c:\RV32\CH32V203\LearnADC\src\bus\printer.hpp                        | C++                |         97 |          1 |         27 |        125 |
| c:\RV32\CH32V203\LearnADC\src\bus\serbus.hpp                         | C++                |         28 |         13 |         14 |         55 |
| c:\RV32\CH32V203\LearnADC\src\bus\spi\spi.hpp                        | C++                |          9 |          0 |          6 |         15 |
| c:\RV32\CH32V203\LearnADC\src\bus\spi\spi2.cpp                       | C++                |         71 |          0 |         24 |         95 |
| c:\RV32\CH32V203\LearnADC\src\bus\spi\spi2.hpp                       | C++                |         62 |          3 |         25 |         90 |
| c:\RV32\CH32V203\LearnADC\src\bus\spi\spi2_hs.cpp                    | C++                |          5 |          0 |          1 |          6 |
| c:\RV32\CH32V203\LearnADC\src\bus\spi\spi2_hs.hpp                    | C++                |         20 |          0 |          7 |         27 |
| c:\RV32\CH32V203\LearnADC\src\bus\spi\spidrv.hpp                     | C++                |         14 |          0 |          5 |         19 |
| c:\RV32\CH32V203\LearnADC\src\bus\uart\uart1.cpp                     | C++                |         62 |          0 |         13 |         75 |
| c:\RV32\CH32V203\LearnADC\src\bus\uart\uart1.hpp                     | C++                |         27 |          0 |          9 |         36 |
| c:\RV32\CH32V203\LearnADC\src\bus\uart\uart2.cpp                     | C++                |         63 |          0 |         13 |         76 |
| c:\RV32\CH32V203\LearnADC\src\bus\uart\uart2.hpp                     | C++                |         27 |          0 |          9 |         36 |
| c:\RV32\CH32V203\LearnADC\src\can_test.c                             | C                  |          0 |        231 |         74 |        305 |
| c:\RV32\CH32V203\LearnADC\src\ch32v20x_conf.h                        | C                  |         23 |          9 |          9 |         41 |
| c:\RV32\CH32V203\LearnADC\src\ch32v20x_it.c                          | C                  |         12 |         23 |          6 |         41 |
| c:\RV32\CH32V203\LearnADC\src\ch32v20x_it.h                          | C                  |          3 |          9 |          6 |         18 |
| c:\RV32\CH32V203\LearnADC\src\clock\clock.c                          | C                  |         62 |         19 |         18 |         99 |
| c:\RV32\CH32V203\LearnADC\src\clock\clock.h                          | C                  |         58 |         26 |         23 |        107 |
| c:\RV32\CH32V203\LearnADC\src\defines\comm_inc.h                     | C                  |          8 |          0 |          4 |         12 |
| c:\RV32\CH32V203\LearnADC\src\defines\math_defs.h                    | C                  |         66 |          0 |         23 |         89 |
| c:\RV32\CH32V203\LearnADC\src\defines\sys_defs.h                     | C                  |         63 |          1 |         19 |         83 |
| c:\RV32\CH32V203\LearnADC\src\defines\user_defs.h                    | C                  |         12 |          5 |          8 |         25 |
| c:\RV32\CH32V203\LearnADC\src\errors\error_macros.cpp                | C++                |          5 |          0 |          1 |          6 |
| c:\RV32\CH32V203\LearnADC\src\errors\error_macros.h                  | C                  |         30 |          1 |          7 |         38 |
| c:\RV32\CH32V203\LearnADC\src\gpio\gpio.hpp                          | C++                |         94 |          0 |         20 |        114 |
| c:\RV32\CH32V203\LearnADC\src\main.cpp                               | C++                |        221 |         36 |         66 |        323 |
| c:\RV32\CH32V203\LearnADC\src\old.c                                  | C                  |          0 |        147 |         34 |        181 |
| c:\RV32\CH32V203\LearnADC\src\system_ch32v20x.c                      | C                  |        553 |        283 |        127 |        963 |
| c:\RV32\CH32V203\LearnADC\src\system_ch32v20x.h                      | C                  |         12 |         10 |          9 |         31 |
| c:\RV32\CH32V203\LearnADC\tools\wch-interface.cfg                    | Properties         |          1 |          1 |          2 |          4 |
| c:\RV32\CH32V203\LearnADC\tools\wch-target.cfg                       | Properties         |          9 |          0 |          5 |         14 |
| c:\RV32\CH32V203\LearnADC\types\basis\Basis.cpp                      | C++                |          0 |        838 |        137 |        975 |
| c:\RV32\CH32V203\LearnADC\types\basis\Basis.hpp                      | C++                |          0 |        238 |         63 |        301 |
| c:\RV32\CH32V203\LearnADC\types\buffer\buffer.hpp                    | C++                |         26 |          0 |          9 |         35 |
| c:\RV32\CH32V203\LearnADC\types\buffer\pingpongbuf\pingpongbuf_t.hpp | C++                |         45 |          0 |         13 |         58 |
| c:\RV32\CH32V203\LearnADC\types\buffer\ringbuf\ringbuf_t.hpp         | C++                |         45 |          0 |         13 |         58 |
| c:\RV32\CH32V203\LearnADC\types\buffer\stack\stack_t.hpp             | C++                |         37 |          0 |         10 |         47 |
| c:\RV32\CH32V203\LearnADC\types\color\color_t.hpp                    | C++                |        182 |          0 |         35 |        217 |
| c:\RV32\CH32V203\LearnADC\types\color\color_t.tpp                    | C++                |        260 |          0 |         46 |        306 |
| c:\RV32\CH32V203\LearnADC\types\complex\complex_t.hpp                | C++                |        102 |          0 |         20 |        122 |
| c:\RV32\CH32V203\LearnADC\types\complex\complex_t.tpp                | C++                |         61 |          0 |         11 |         72 |
| c:\RV32\CH32V203\LearnADC\types\iq\iqt.cpp                           | C++                |         27 |          2 |          6 |         35 |
| c:\RV32\CH32V203\LearnADC\types\iq\iqt.hpp                           | C++                |        330 |          0 |        127 |        457 |
| c:\RV32\CH32V203\LearnADC\types\matrix\matrix.cpp                    | C++                |        112 |         41 |         19 |        172 |
| c:\RV32\CH32V203\LearnADC\types\matrix\matrix.hpp                    | C++                |         27 |          0 |         11 |         38 |
| c:\RV32\CH32V203\LearnADC\types\matrix\matrix.tpp                    | C++                |         18 |          0 |          1 |         19 |
| c:\RV32\CH32V203\LearnADC\types\quat\Quat.cpp                        | C++                |          0 |        177 |         34 |        211 |
| c:\RV32\CH32V203\LearnADC\types\quat\Quat.hpp                        | C++                |          0 |        113 |         22 |        135 |
| c:\RV32\CH32V203\LearnADC\types\real.cpp                             | C++                |         72 |          4 |         14 |         90 |
| c:\RV32\CH32V203\LearnADC\types\real.hpp                             | C++                |         31 |          4 |         16 |         51 |
| c:\RV32\CH32V203\LearnADC\types\rect2\rect2_t.hpp                    | C++                |         26 |          0 |         12 |         38 |
| c:\RV32\CH32V203\LearnADC\types\rect2\rect2_t.tpp                    | C++                |         34 |          5 |         10 |         49 |
| c:\RV32\CH32V203\LearnADC\types\rgb.h                                | C                  |        117 |          0 |         41 |        158 |
| c:\RV32\CH32V203\LearnADC\types\string\String.cpp                    | C++                |        574 |         55 |        103 |        732 |
| c:\RV32\CH32V203\LearnADC\types\string\String.hpp                    | C++                |        157 |         51 |         26 |        234 |
| c:\RV32\CH32V203\LearnADC\types\string\string_utils.c                | C                  |        142 |          0 |         24 |        166 |
| c:\RV32\CH32V203\LearnADC\types\string\string_utils.h                | C                  |         21 |          0 |         11 |         32 |
| c:\RV32\CH32V203\LearnADC\types\uint24_t.h                           | C                  |         28 |          0 |         13 |         41 |
| c:\RV32\CH32V203\LearnADC\types\vector2\vector2_t.hpp                | C++                |        102 |          0 |         28 |        130 |
| c:\RV32\CH32V203\LearnADC\types\vector2\vector2_t.tpp                | C++                |        204 |          0 |         42 |        246 |
| Total                                                                |                    |     20,508 |     10,743 |      4,953 |     36,204 |
+----------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
