Date : 2024-02-07 19:41:55
Directory : c:\RV32\CH32V203\LearnADC
Total : 164 files,  20508 codes, 10743 comments, 4953 blanks, all 36204 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C                  |         82 |     14,219 |      7,825 |      3,096 |     25,140 |
| C++                |         68 |      5,082 |      2,812 |      1,760 |      9,654 |
| ARM                |          3 |        756 |         42 |         34 |        832 |
| JSON               |          3 |        150 |          0 |          0 |        150 |
| LinkerScript       |          1 |        128 |         30 |         30 |        188 |
| JSON with Comments |          1 |        125 |          0 |          0 |        125 |
| YAML               |          2 |         21 |         33 |         17 |         71 |
| Ini                |          1 |         14 |          0 |          5 |         19 |
| Properties         |          2 |         10 |          1 |          7 |         18 |
| Batch              |          1 |          3 |          0 |          4 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                    |        164 |     20,508 |     10,743 |      4,953 |     36,204 |
| . (Files)                                                            |          4 |        149 |          9 |         16 |        174 |
| .eide                                                                |          4 |        164 |         24 |         10 |        198 |
| dsp                                                                  |          6 |        155 |          0 |         48 |        203 |
| dsp\controller                                                       |          2 |         48 |          0 |         18 |         66 |
| dsp\filter                                                           |          2 |         45 |          0 |         14 |         59 |
| dsp\floatlib                                                         |          2 |         62 |          0 |         16 |         78 |
| sdk                                                                  |         47 |     12,569 |      6,888 |      2,337 |     21,794 |
| sdk\Core                                                             |          2 |        310 |        312 |         90 |        712 |
| sdk\Ld                                                               |          1 |        128 |         30 |         30 |        188 |
| sdk\Peripheral                                                       |         41 |     11,375 |      6,504 |      2,183 |     20,062 |
| sdk\Peripheral\inc                                                   |         21 |      5,821 |      1,001 |      1,093 |      7,915 |
| sdk\Peripheral\src                                                   |         20 |      5,554 |      5,503 |      1,090 |     12,147 |
| sdk\Startup                                                          |          3 |        756 |         42 |         34 |        832 |
| src                                                                  |         72 |      4,681 |      2,293 |      1,618 |      8,592 |
| src (Files)                                                          |          8 |        824 |        748 |        331 |      1,903 |
| src\AS5600                                                           |          1 |        223 |          0 |         55 |        278 |
| src\HX711                                                            |          2 |        101 |          3 |         26 |        130 |
| src\MA730                                                            |          1 |         10 |          0 |          6 |         16 |
| src\MLX90640                                                         |          6 |        313 |      1,246 |        343 |      1,902 |
| src\MPU6050                                                          |          2 |         62 |          9 |         19 |         90 |
| src\OV7670                                                           |          2 |          0 |        170 |         25 |        195 |
| src\PCF8574                                                          |          1 |         28 |          0 |          8 |         36 |
| src\SDcard                                                           |          2 |         46 |          4 |         16 |         66 |
| src\SGM58031                                                         |          1 |        188 |          1 |         37 |        226 |
| src\SSD1306                                                          |          2 |        110 |          0 |         22 |        132 |
| src\ST7789                                                           |          5 |        723 |         12 |        182 |        917 |
| src\ST7789V2                                                         |          2 |        102 |          3 |         28 |        133 |
| src\TCS34725                                                         |          1 |        239 |          1 |         54 |        294 |
| src\TM8211                                                           |          1 |         56 |          2 |         15 |         73 |
| src\TTP229                                                           |          2 |         68 |          2 |         20 |         90 |
| src\VL53L0X                                                          |          2 |        133 |          0 |         31 |        164 |
| src\bus                                                              |         22 |      1,057 |         40 |        277 |      1,374 |
| src\bus (Files)                                                      |          6 |        333 |         16 |         81 |        430 |
| src\bus\i2c                                                          |          3 |        270 |         13 |         48 |        331 |
| src\bus\i2s                                                          |          3 |         94 |          8 |         36 |        138 |
| src\bus\spi                                                          |          6 |        181 |          3 |         68 |        252 |
| src\bus\uart                                                         |          4 |        179 |          0 |         44 |        223 |
| src\clock                                                            |          2 |        120 |         45 |         41 |        206 |
| src\defines                                                          |          4 |        149 |          6 |         54 |        209 |
| src\errors                                                           |          2 |         35 |          1 |          8 |         44 |
| src\gpio                                                             |          1 |         94 |          0 |         20 |        114 |
| tools                                                                |          2 |         10 |          1 |          7 |         18 |
| types                                                                |         29 |      2,780 |      1,528 |        917 |      5,225 |
| types (Files)                                                        |          4 |        248 |          8 |         84 |        340 |
| types\basis                                                          |          2 |          0 |      1,076 |        200 |      1,276 |
| types\buffer                                                         |          4 |        153 |          0 |         45 |        198 |
| types\buffer (Files)                                                 |          1 |         26 |          0 |          9 |         35 |
| types\buffer\pingpongbuf                                             |          1 |         45 |          0 |         13 |         58 |
| types\buffer\ringbuf                                                 |          1 |         45 |          0 |         13 |         58 |
| types\buffer\stack                                                   |          1 |         37 |          0 |         10 |         47 |
| types\color                                                          |          2 |        442 |          0 |         81 |        523 |
| types\complex                                                        |          2 |        163 |          0 |         31 |        194 |
| types\iq                                                             |          2 |        357 |          2 |        133 |        492 |
| types\matrix                                                         |          3 |        157 |         41 |         31 |        229 |
| types\quat                                                           |          2 |          0 |        290 |         56 |        346 |
| types\rect2                                                          |          2 |         60 |          5 |         22 |         87 |
| types\string                                                         |          4 |        894 |        106 |        164 |      1,164 |
| types\vector2                                                        |          2 |        306 |          0 |         70 |        376 |
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                             | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\RV32\CH32V203\LearnADC\.clang-format                              | YAML               |         18 |          9 |         12 |         39 |
| c:\RV32\CH32V203\LearnADC\.eide.usr.ctx.json                         | JSON               |          3 |          0 |          0 |          3 |
