Date : 2024-01-31 00:55:16
Directory : c:\RV32\CH32V203\LearnADC
Total : 130 files,  18570 codes, 10732 comments, 4415 blanks, all 33717 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C                  |         78 |     14,046 |      7,837 |      3,037 |     24,920 |
| C++                |         38 |      3,323 |      2,789 |      1,281 |      7,393 |
| ARM                |          3 |        756 |         42 |         34 |        832 |
| JSON               |          3 |        146 |          0 |          0 |        146 |
| LinkerScript       |          1 |        128 |         30 |         30 |        188 |
| JSON with Comments |          1 |        123 |          0 |          0 |        123 |
| YAML               |          2 |         21 |         33 |         17 |         71 |
| Ini                |          1 |         14 |          0 |          5 |         19 |
| Properties         |          2 |         10 |          1 |          7 |         18 |
| Batch              |          1 |          3 |          0 |          4 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                              |        130 |     18,570 |     10,732 |      4,415 |     33,717 |
| . (Files)                                                      |          4 |        147 |          9 |         16 |        172 |
| .eide                                                          |          4 |        160 |         24 |         10 |        194 |
| dsp                                                            |          6 |        155 |          0 |         48 |        203 |
| dsp\controller                                                 |          2 |         48 |          0 |         18 |         66 |
| dsp\filter                                                     |          2 |         45 |          0 |         14 |         59 |
| dsp\floatlib                                                   |          2 |         62 |          0 |         16 |         78 |
| sdk                                                            |         47 |     12,569 |      6,888 |      2,337 |     21,794 |
| sdk\Core                                                       |          2 |        310 |        312 |         90 |        712 |
| sdk\Ld                                                         |          1 |        128 |         30 |         30 |        188 |
| sdk\Peripheral                                                 |         41 |     11,375 |      6,504 |      2,183 |     20,062 |
| sdk\Peripheral\inc                                             |         21 |      5,821 |      1,001 |      1,093 |      7,915 |
| sdk\Peripheral\src                                             |         20 |      5,554 |      5,503 |      1,090 |     12,147 |
| sdk\Startup                                                    |          3 |        756 |         42 |         34 |        832 |
| src                                                            |         42 |      2,816 |      2,255 |      1,136 |      6,207 |
| src (Files)                                                    |          8 |        990 |        760 |        360 |      2,110 |
| src\MLX90640                                                   |          6 |        313 |      1,246 |        343 |      1,902 |
| src\OV7670                                                     |          2 |          0 |        170 |         25 |        195 |
| src\SDcard                                                     |          2 |         46 |          4 |         16 |         66 |
| src\ST7789                                                     |          5 |        722 |         12 |        183 |        917 |
| src\bus                                                        |          9 |        410 |         15 |         96 |        521 |
| src\bus (Files)                                                |          4 |        202 |         15 |         45 |        262 |
| src\bus\spi                                                    |          1 |          0 |          0 |          1 |          1 |
| src\bus\uart                                                   |          4 |        208 |          0 |         50 |        258 |
| src\clock                                                      |          2 |         79 |         41 |         28 |        148 |
| src\defines                                                    |          4 |        149 |          6 |         54 |        209 |
| src\errors                                                     |          2 |         35 |          1 |          8 |         44 |
| src\ringbuf                                                    |          2 |         72 |          0 |         23 |         95 |
| tools                                                          |          2 |         10 |          1 |          7 |         18 |
| types                                                          |         25 |      2,713 |      1,555 |        861 |      5,129 |
| types (Files)                                                  |          4 |        211 |          8 |         83 |        302 |
